52
9362	9364	1	0	0
9491	9628	1	0	1
9806	9898	1	0	2
17512	17626	1	0	3
25465	25514	1	0	4
26905	27050	1	0	5
28317	28488	1	0	6
28901	28975	1	0	7
30101	30203	1	0	8
32101	32156	1	0	9
33997	34050	1	0	10
34471	34534	1	0	11
39444	39532	1	0	12
44827	44910	1	0	13
46448	46517	1	0	14
48687	48793	1	0	15
52849	52982	1	0	16
54244	54378	1	0	17
67032	67072	1	1	18
67258	67615	1	1	19
71916	72008	1	1	20
77547	77648	1	1	21
89126	89263	1	1	22
90316	90428	1	1	23
91254	91752	1	1	24
95136	95206	1	1	25
95936	96065	1	1	26
97415	97533	1	1	27
98165	98278	1	1	28
99698	99841	1	1	29
105180	105230	1	1	30
106559	106601	1	1	31
107137	108672	1	1	32
112435	112681	1	1	33
113404	113493	1	1	34
114630	114679	1	1	35
123888	123998	1	2	36
124323	124871	1	2	37
124964	125212	1	2	38
128065	128392	1	3	39
136407	136501	1	3	40
145683	145781	1	3	41
146626	146736	1	3	42
147214	147357	1	3	43
148371	148547	1	3	44
150721	150812	1	3	45
151682	151711	1	3	46
152518	152712	1	3	47
158404	159322	1	3	48
163980	164108	2	4	51
165544	165775	2	4	50
167818	167912	2	4	49
