52
tr_1_9363_9365_0	9362	9364	9364	1	1	0	0
tr_1_9492_9629_1	9491	9628	9364	1	1	1	0
tr_1_9807_9899_2	9806	9898	9628	1	1	2	0
tr_1_17513_17627_3	17512	17626	9898	1	1	3	0
tr_1_25466_25515_4	25465	25514	17626	1	1	4	0
tr_1_26906_27051_5	26905	27050	25514	1	1	5	0
tr_1_28318_28489_6	28317	28488	27050	1	1	6	0
tr_1_28902_28976_7	28901	28975	28488	1	1	7	0
tr_1_30102_30204_8	30101	30203	28975	1	1	8	0
tr_1_32102_32157_9	32101	32156	30203	1	1	9	0
tr_1_33998_34051_10	33997	34050	32156	1	1	10	0
tr_1_34472_34535_11	34471	34534	34050	1	1	11	0
tr_1_39445_39533_12	39444	39532	34534	1	1	12	0
tr_1_44828_44911_13	44827	44910	39532	1	1	13	0
tr_1_46449_46518_14	46448	46517	44910	1	1	14	0
tr_1_48688_48794_15	48687	48793	46517	1	1	15	0
tr_1_52850_52983_16	52849	52982	48793	1	1	16	0
tr_1_54245_54379_17	54244	54378	52982	1	1	17	0
tr_1_67033_67073_18	67032	67072	54378	1	1	18	1
tr_1_67259_67616_19	67258	67615	67072	1	1	19	1
tr_1_71917_72009_20	71916	72008	67615	1	1	20	1
tr_1_77548_77649_21	77547	77648	72008	1	1	21	1
tr_1_89127_89264_22	89126	89263	77648	1	1	22	1
tr_1_90317_90429_23	90316	90428	89263	1	1	23	1
tr_1_91255_91753_24	91254	91752	90428	1	1	24	1
tr_1_95137_95207_25	95136	95206	91752	1	1	25	1
tr_1_95937_96066_26	95936	96065	95206	1	1	26	1
tr_1_97416_97534_27	97415	97533	96065	1	1	27	1
tr_1_98166_98279_28	98165	98278	97533	1	1	28	1
tr_1_99699_99842_29	99698	99841	98278	1	1	29	1
tr_1_105181_105231_30	105180	105230	99841	1	1	30	1
tr_1_106560_106602_31	106559	106601	105230	1	1	31	1
tr_1_107138_108673_32	107137	108672	106601	1	1	32	1
tr_1_112436_112682_33	112435	112681	108672	1	1	33	1
tr_1_113405_113494_34	113404	113493	112681	1	1	34	1
tr_1_114631_114680_35	114630	114679	113493	1	1	35	1
tr_1_123889_123999_36	123888	123998	114679	1	1	36	2
tr_1_124324_124872_37	124323	124871	123998	1	1	37	2
tr_1_124965_125213_38	124964	125212	124871	1	1	38	2
tr_1_128066_128393_39	128065	128392	125212	1	1	39	3
tr_1_136408_136502_40	136407	136501	128392	1	1	40	3
tr_1_145684_145782_41	145683	145781	136501	1	1	41	3
tr_1_146627_146737_42	146626	146736	145781	1	1	42	3
tr_1_147215_147358_43	147214	147357	146736	1	1	43	3
tr_1_148372_148548_44	148371	148547	147357	1	1	44	3
tr_1_150722_150813_45	150721	150812	148547	1	1	45	3
tr_1_151683_151712_46	151682	151711	150812	1	1	46	3
tr_1_152519_152713_47	152518	152712	151711	1	1	47	3
tr_1_158405_159323_48	158404	159322	152712	1	1	48	3
tr_1_163981_164109_51	163980	164108	159322	2	1	49	4
tr_1_165545_165776_50	165544	165775	164108	2	1	50	4
tr_1_167819_167913_49	167818	167912	165775	2	1	51	4
